Dates,S_Sup,S_Use
2012/10/17,2785,2670
2012/10/18,2785,2670
2012/10/19,2785,2670
2012/10/22,2785,2670
2012/10/23,2785,2670
2012/10/24,2785,2670
2012/10/25,2785,2670
2012/10/26,2785,2670
2012/10/29,2785,2670
2012/10/30,2785,2670
2012/10/31,3050,2920
2012/11/1,3050,2920
2012/11/2,3050,2920
2012/11/5,3050,2920
2012/11/6,3050,2920
2012/11/7,3050,2920
2012/11/8,3050,2920
2012/11/9,3050,2920
2012/11/12,3050,2920
2012/11/13,3050,2920
2012/11/14,3050,2920
2012/11/15,3050,2920
2012/11/16,3050,2920
2012/11/19,3050,2920
2012/11/20,3050,2920
2012/11/21,3050,2920
2012/11/22,3050,2920
2012/11/23,3050,2920
2012/11/26,3050,2920
2012/11/27,3050,2920
2012/11/28,3050,2920
2012/11/29,3050,2920
2012/11/30,3160,3021
2012/12/3,3160,3021
2012/12/4,3160,3021
2012/12/5,3160,3021
2012/12/6,3160,3021
2012/12/7,3160,3021
2012/12/10,3160,3021
2012/12/11,3160,3021
2012/12/12,3160,3021
2012/12/13,3160,3021
2012/12/14,3160,3021
2012/12/17,3160,3021
2012/12/18,3160,3021
2012/12/19,3160,3021
2012/12/20,3160,3021
2012/12/21,3160,3021
2012/12/24,3160,3021
2012/12/25,3160,3021
2012/12/26,3160,3021
2012/12/27,3160,3021
2012/12/28,3160,3021
2012/12/31,3160,3031
2013/1/1,3160,3031
2013/1/2,3160,3031
2013/1/3,3160,3031
2013/1/4,3160,3031
2013/1/7,3160,3031
2013/1/8,3160,3031
2013/1/9,3160,3031
2013/1/10,3160,3031
2013/1/11,3160,3031
2013/1/14,3160,3031
2013/1/15,3160,3031
2013/1/16,3160,3031
2013/1/17,3160,3031
2013/1/18,3160,3031
2013/1/21,3160,3031
2013/1/22,3160,3031
2013/1/23,3160,3031
2013/1/24,3160,3031
2013/1/25,3160,3031
2013/1/28,3160,3031
2013/1/29,3160,3031
2013/1/30,3160,3031
2013/1/31,3204,3070
2013/2/1,3204,3070
2013/2/4,3204,3070
2013/2/5,3204,3070
2013/2/6,3204,3070
2013/2/7,3204,3070
2013/2/8,3204,3070
2013/2/11,3204,3070
2013/2/12,3204,3070
2013/2/13,3204,3070
2013/2/14,3204,3070
2013/2/15,3204,3070
2013/2/18,3204,3070
2013/2/19,3204,3070
2013/2/20,3204,3070
2013/2/21,3204,3070
2013/2/22,3204,3070
2013/2/25,3204,3070
2013/2/26,3204,3070
2013/2/27,3204,3070
2013/2/28,3204,3080
2013/3/1,3204,3080
2013/3/4,3204,3080
2013/3/5,3204,3080
2013/3/6,3204,3080
2013/3/7,3204,3080
2013/3/8,3204,3080
2013/3/11,3204,3080
2013/3/12,3204,3080
2013/3/13,3204,3080
2013/3/14,3204,3080
2013/3/15,3204,3080
2013/3/18,3204,3080
2013/3/19,3204,3080
2013/3/20,3204,3080
2013/3/21,3204,3080
2013/3/22,3204,3080
2013/3/25,3204,3080
2013/3/26,3204,3080
2013/3/27,3204,3080
2013/3/28,3204,3080
2013/3/29,3204,3080
2013/4/1,3204,3080
2013/4/2,3204,3080
2013/4/3,3204,3080
2013/4/4,3204,3080
2013/4/5,3204,3080
2013/4/8,3204,3080
2013/4/9,3204,3080
2013/4/10,3204,3080
2013/4/11,3204,3080
2013/4/12,3204,3080
2013/4/15,3204,3080
